usuario1,100001,2026-06-30 19:07:07,DEPOSITO,100.00
usuario1,100001,2026-06-30 19:07:26,DEPOSITO,1000.00
usuario1,100001,2026-07-02 18:50:09,DEPOSITO,1000.00
usuario1,100001,2026-07-02 18:50:31,DEPOSITO,500.00
usuario1,100001,2026-07-02 20:08:49,DEPOSITO,0.50
usuario1,100001,2026-07-02 20:28:52,DEPOSITO,99.00
usuario1,100001,2026-07-02 20:37:47,RETIRO,100.00
usuario1,100001,2026-07-02 20:38:03,RETIRO,100.00
usuario1,100001,2026-07-02 20:40:02,RETIRO,1000.00
usuario1,100001,2026-07-02 20:51:14,RETIRO,1000.00
usuario1,100001,2026-07-02 20:51:26,DEPOSITO,7000.00
usuario1,100001,2026-07-04 17:23:51,DEPOSITO,1500.00
usuario1,100001,2026-07-06 17:30:52,RETIRO,999.00
usuario1,100001,2026-07-06 17:46:34,RETIRO,501.00
